"source","target","locality","year"
"02-0845","02-0493","Eisleben","1572"
"02-0845","02-0649","Eisleben","1577"
"02-0961","02-0655","s.l.","1574"
"02-0716","02-0655","s.l.","1574"
"02-0845","02-0655","Eisleben","1578"
"02-0845","02-0655","Oberursel/Taunus","1576"
"02-0716","02-0655","Oberursel/Taunus","1573"
"02-0741","02-0666","Magdeburg","1562"
"02-0741","02-0681","Magdeburg","1562"
"02-0789","02-0716","Wittenberg","1570"
"02-0785","02-0716","Eisleben","1575"
"02-0783","02-0716","Jena","1572"
"02-0748","02-0716","Eisleben","1573"
"02-0741","02-0716","Jena","1571"
"02-0680","02-0716","Königsberg","1575"
"02-0741","02-0716","Königsberg","1574"
"02-0741","02-0716","Jena","1572"
"02-0655","02-0716","Tübingen","1574"
"02-0655","02-0716","Tübingen","1574"
"02-0696","02-0716","Wittenberg","1571"
"02-0789","02-0716","Wittenberg","1570"
"02-0741","02-0716","Jena","1570"
"02-0655","02-0716","Tübingen","1574"
"02-0741","02-0716","Jena","1572"
"02-0758","02-0716","Jena","1572"
"02-0741","02-0716","Jena","1572"
"02-0791","02-0716","Jena","1573"
"02-0845","02-0741","Eisleben","1572"
"02-0716","02-0741","Oberursel/Taunus","1573"
"02-0716","02-0741","Eisleben","1572"
"02-0658","02-0749","Regensburg","1575"
"02-0785","02-0749","Eisleben","1574"
"02-0802","02-0767","s.l.","1568"
"02-0845","02-0785","s.l.","1575"
"02-0845","02-0785","Eisleben","1577"
"02-0785","02-0785","Eisleben","1575"
"02-0845","02-0785","Eisleben","1575"
"02-0749","02-0785","Mansfeld","1574"
"02-0845","02-0785","Mansfeld","1573"
"02-0716","02-0791","Oberursel/Taunus","1572"
"02-0716","02-0791","Eisleben","1572"
"02-0714","02-0802","Eisleben","1570"
"02-0714","02-0802","Eisleben","1574"
"02-0714","02-0802","Eisleben","1574"
"02-0845","02-0820","Eisleben","1572"
"02-0845","02-0820","Eisleben","1573"
"02-0845","02-0820","Mansfeld","1573"
"02-0785","02-0832","Eisleben","1574"
"02-0785","02-0845","Eisleben","1575"
"02-0785","02-0845","Halle (Saale)","1577"
"02-0658","02-0845","Eisleben","1580"
"02-1002","02-0845","Eisleben","1580"
"02-0712","02-0845","Eisleben","1574"
"02-0785","02-0845","Eisleben","1574"
"02-0820","02-0845","Eisleben","1573"
"02-0785","02-0845","Eisleben","1573"
"02-0785","02-0845","Eisleben","1573"
"02-0785","02-0845","Eisleben","1575"
"02-0820","02-0845","Eisleben","1572"
"02-0746","02-0845","Eisleben","1574"
"02-0741","02-0845","Königsberg","1574"
"02-0845","02-0845","Eisleben","1575"
"02-0716","02-0879","Oberursel/Taunus","1572"
"02-0716","02-0879","Oberursel/Taunus","1572"
